,player,pl_acc,pl_pps,min_start,min_end,shots_count,shots_made,shots_freq,shots_acc
200,Greg Monroe [TOR],49.09090909090909,98.7878787878788,27,28,1,0,0.3389830508474576,0.0
201,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,27,28,8,4,2.711864406779661,50.0
202,OG Anunoby [TOR],45.05208333333333,106.51041666666667,27,28,4,2,1.3559322033898304,50.0
203,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,27,28,13,4,4.406779661016949,30.76923076923077
204,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,27,28,63,34,21.35593220338983,53.96825396825397
205,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,27,28,47,27,15.932203389830509,57.446808510638306
206,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,27,28,38,21,12.88135593220339,55.26315789473685
207,Others [TOR],0.0,0.0,27,28,1,1,0.3389830508474576,100.0
208,Danny Green [TOR],46.73202614379085,124.83660130718954,27,28,46,23,15.59322033898305,50.0
209,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,27,28,61,34,20.677966101694917,55.73770491803278
210,CJ Miles [TOR],35.483870967741936,92.1146953405018,29,30,1,0,0.34843205574912894,0.0
211,Delon Wright [TOR],43.12977099236641,95.22900763358778,29,30,0,0,0.0,0.0
212,Marc Gasol [TOR],44.85981308411215,101.16822429906543,29,30,12,6,4.181184668989547,50.0
213,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,29,30,2,1,0.6968641114982579,50.0
214,Norman Powell [TOR],47.8494623655914,111.29032258064515,29,30,0,0,0.0,0.0
215,Greg Monroe [TOR],49.09090909090909,98.7878787878788,29,30,0,0,0.0,0.0
216,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,29,30,9,6,3.1358885017421603,66.66666666666666
217,OG Anunoby [TOR],45.05208333333333,106.51041666666667,29,30,1,1,0.34843205574912894,100.0
218,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,29,30,19,7,6.620209059233449,36.84210526315789
219,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,29,30,55,27,19.16376306620209,49.09090909090909
220,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,29,30,44,30,15.331010452961673,68.18181818181817
221,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,29,30,37,17,12.89198606271777,45.94594594594595
222,Others [TOR],0.0,0.0,29,30,0,0,0.0,0.0
223,Danny Green [TOR],46.73202614379085,124.83660130718954,29,30,43,24,14.982578397212544,55.81395348837209
224,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,29,30,64,32,22.299651567944252,50.0
225,CJ Miles [TOR],35.483870967741936,92.1146953405018,31,32,2,0,0.7067137809187279,0.0
226,Delon Wright [TOR],43.12977099236641,95.22900763358778,31,32,3,1,1.0600706713780919,33.33333333333333
227,Marc Gasol [TOR],44.85981308411215,101.16822429906543,31,32,8,4,2.8268551236749118,50.0
228,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,31,32,2,1,0.7067137809187279,50.0
229,Norman Powell [TOR],47.8494623655914,111.29032258064515,31,32,5,3,1.7667844522968197,60.0
230,Greg Monroe [TOR],49.09090909090909,98.7878787878788,31,32,4,1,1.4134275618374559,25.0
231,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,31,32,3,2,1.0600706713780919,66.66666666666666
232,OG Anunoby [TOR],45.05208333333333,106.51041666666667,31,32,12,6,4.240282685512367,50.0
233,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,31,32,26,16,9.187279151943462,61.53846153846154
234,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,31,32,52,29,18.374558303886925,55.769230769230774
235,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,31,32,43,19,15.19434628975265,44.18604651162791
236,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,31,32,42,20,14.840989399293287,47.61904761904761
237,Others [TOR],0.0,0.0,31,32,1,1,0.35335689045936397,100.0
238,Danny Green [TOR],46.73202614379085,124.83660130718954,31,32,27,14,9.540636042402827,51.85185185185185
239,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,31,32,53,33,18.72791519434629,62.264150943396224
240,CJ Miles [TOR],35.483870967741936,92.1146953405018,33,34,0,0,0.0,0.0
241,Delon Wright [TOR],43.12977099236641,95.22900763358778,33,34,5,3,1.7301038062283738,60.0
242,Marc Gasol [TOR],44.85981308411215,101.16822429906543,33,34,4,1,1.3840830449826989,25.0
243,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,33,34,7,3,2.422145328719723,42.857142857142854
244,Norman Powell [TOR],47.8494623655914,111.29032258064515,33,34,23,16,7.958477508650519,69.56521739130434
245,Greg Monroe [TOR],49.09090909090909,98.7878787878788,33,34,8,4,2.7681660899653977,50.0
246,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,33,34,10,3,3.4602076124567476,30.0
247,OG Anunoby [TOR],45.05208333333333,106.51041666666667,33,34,20,10,6.920415224913495,50.0
248,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,33,34,26,11,8.996539792387543,42.30769230769231
249,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,33,34,36,22,12.456747404844291,61.111111111111114
250,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,33,34,29,18,10.034602076124568,62.06896551724138
251,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,33,34,43,14,14.878892733564014,32.55813953488372
252,Others [TOR],0.0,0.0,33,34,8,2,2.7681660899653977,25.0
253,Danny Green [TOR],46.73202614379085,124.83660130718954,33,34,26,11,8.996539792387543,42.30769230769231
254,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,33,34,44,20,15.22491349480969,45.45454545454545
255,CJ Miles [TOR],35.483870967741936,92.1146953405018,35,36,12,3,3.6036036036036037,25.0
256,Delon Wright [TOR],43.12977099236641,95.22900763358778,35,36,23,13,6.906906906906907,56.52173913043478
257,Marc Gasol [TOR],44.85981308411215,101.16822429906543,35,36,1,1,0.3003003003003003,100.0
258,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,35,36,19,5,5.7057057057057055,26.31578947368421
259,Norman Powell [TOR],47.8494623655914,111.29032258064515,35,36,47,18,14.114114114114114,38.297872340425535
260,Greg Monroe [TOR],49.09090909090909,98.7878787878788,35,36,20,11,6.006006006006006,55.00000000000001
261,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,35,36,22,9,6.606606606606607,40.909090909090914
262,OG Anunoby [TOR],45.05208333333333,106.51041666666667,35,36,32,12,9.60960960960961,37.5
263,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,35,36,48,17,14.414414414414415,35.41666666666667
264,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,35,36,38,19,11.411411411411411,50.0
